Product,Total_Revenue,Rank
Where Have All The Good Times Gone?,0.99,414
Where The River Goes,0.99,414
Where The Wild Things Are,0.99,414
Wherever You May Go,0.99,414
Whiplash,0.99,414
White Feather,0.99,414
White Riot,0.99,414
Who Needs You,0.99,414
Who Wants To Live Forever,0.99,414
Who'll Stop The Rain,0.99,414
Whole Lotta Love,0.99,414
Whole Lotta Love (Medley),0.99,414
Why Go,0.99,414
Wild Hearted Son,0.99,414
Wild Side,0.99,414
Wildest Dreams,0.99,414
Winterlong,0.99,414
With Or Without You,0.99,414
Women In Uniform,0.99,414
Won't Get Fooled Again (Full Length Version),0.99,414
Wonderful Tonight,0.99,414
Woodpecker From Mars,0.99,414
World Wide Suicide,0.99,414
Wrote A Song For Everyone,0.99,414
X-9 2001,0.99,414
Xanadu,0.99,414
Xote Dos Milagres,0.99,414
Yahweh,0.99,414
Yesterday To Tomorrow,0.99,414
Yesterdays,0.99,414
You Ain't the First,0.99,414
You Are The Everything,0.99,414
You Can't Do it Right (With the One You Love),0.99,414
You Could Be Mine,0.99,414
You Fool No One,0.99,414
You Keep On Moving,0.99,414
You Know I'm No Good,0.99,414
You Know I'm No Good (feat. Ghostface Killah),0.99,414
You Learn,0.99,414
You Oughta Know,0.99,414
You Really Got Me,0.99,414
You Shook Me,0.99,414
You Shook Me(2),0.99,414
You Sure Love To Ball,0.99,414
You're Gonna Break My Hart Again,0.99,414
You've Been A Long Time Coming,0.99,414
Your Blue Room,0.99,414
Your Time Has Come,0.99,414
Zambação,0.99,414
Zeca Violeiro,0.99,414
Zither,0.99,414
Zooropa,0.99,414
Zé Trindade,0.99,414
[Just Like] Starting Over,0.99,414
[Untitled],0.99,414
Às Vezes,0.99,414
Água E Fogo,0.99,414
Água de Beber,0.99,414
É Fogo,0.99,414
"Étude 1, In C Major - Preludio (Presto) - Liszt",0.99,414
Óculos,0.99,414
